,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Company Shares | Global - Historical Owner | Historical | % breakdown,,,,,,,,,
Geography,Category,Company Name,Data Type,2015,2016,2017,2018,2019,2020
Asia Pacific,Beer,China Resources Holdings Co Ltd,Total Volume,16.8,17.2,17.3,16.3,15.8,16.7
Asia Pacific,Beer,Anheuser-Busch InBev NV,Total Volume,12.8,13.5,13.5,13.6,12.9,12.7
Asia Pacific,Beer,Tsingtao Brewery Co Ltd,Total Volume,12.2,11.6,11.6,11.6,11.4,12.0
Asia Pacific,Beer,Carlsberg A/S,Total Volume,5.9,5.9,5.8,6.1,6.3,6.8
Asia Pacific,Beer,Beijing Yanjing Brewery Co Ltd,Total Volume,7.0,6.6,6.1,5.6,5.4,5.5
Asia Pacific,Beer,Heineken NV,Total Volume,2.7,3.4,3.7,4.0,4.2,4.1
Asia Pacific,Beer,Thai Beverage PCL,Total Volume,1.0,1.2,3.6,3.6,3.8,3.5
Asia Pacific,Beer,San Miguel Corp,Total Volume,2.4,2.9,3.3,3.6,3.9,3.0
Asia Pacific,Beer,Kirin Holdings Co Ltd,Total Volume,3.2,3.1,3.0,3.0,2.9,2.9
Asia Pacific,Beer,Asahi Group Holdings Ltd,Total Volume,3.1,3.2,3.2,2.9,2.8,2.6
Asia Pacific,Beer,Suntory Holdings Ltd,Total Volume,2.2,2.1,2.0,2.0,2.0,2.0
Asia Pacific,Beer,Guangzhou Zhujiang Brewery Co Ltd,Total Volume,1.7,1.7,1.8,1.8,1.8,1.8
Asia Pacific,Beer,UB Group,Total Volume,1.6,1.7,1.8,1.9,2.0,1.8
Asia Pacific,Beer,Boon Rawd Brewery Co Ltd,Total Volume,1.8,1.9,1.9,1.8,1.8,1.8
Asia Pacific,Beer,Henan Jinxing Brewery Group,Total Volume,1.9,1.9,1.7,1.6,1.4,1.4
Asia Pacific,Beer,Hite Jinro Co Ltd,Total Volume,0.6,0.5,0.5,0.5,0.6,0.9
Asia Pacific,Beer,Sapporo Holdings Ltd,Total Volume,1.0,1.0,1.0,0.9,0.8,0.8
Asia Pacific,Beer,Hanoi Alcohol Beer & Beverages Corp (Habeco),Total Volume,0.9,0.9,0.9,0.8,0.8,0.7
Asia Pacific,Beer,Khmer Beverages Co Ltd,Total Volume,0.1,0.2,0.3,0.5,0.7,0.7
Asia Pacific,Beer,Blue Ribbon Intermediate Holdings LLC,Total Volume,0.5,0.5,0.5,0.5,0.5,0.5
Asia Pacific,Beer,Taiwan Tobacco & Liquor Corp,Total Volume,0.5,0.5,0.5,0.4,0.4,0.4
Asia Pacific,Beer,Hangzhou Qiandaohu Brewery Co Ltd,Total Volume,0.2,0.2,0.2,0.3,0.3,0.3
Asia Pacific,Beer,Anadolu Group,Total Volume,0.3,0.3,0.3,0.3,0.3,0.3
Asia Pacific,Beer,Jebsen & Co Ltd,Total Volume,0.1,0.1,0.1,0.2,0.2,0.2
Asia Pacific,Beer,Lion Brewery (Ceylon) Plc,Total Volume,0.1,0.1,0.1,0.1,0.2,0.2
Asia Pacific,Beer,Asia Brewery Inc,Total Volume,0.2,0.2,0.2,0.2,0.2,0.2
Asia Pacific,Beer,Ganzberg Brewery Co,Total Volume,0.0,0.0,0.1,0.1,0.1,0.2
Asia Pacific,Beer,Molson Coors Brewing Co,Total Volume,0.1,0.1,0.1,0.1,0.1,0.1
Asia Pacific,Beer,Lotte Group,Total Volume,0.1,0.1,0.1,0.2,0.1,0.1
Asia Pacific,Beer,Mohan Meakin Ltd,Total Volume,0.1,0.1,0.1,0.1,0.1,0.1
Asia Pacific,Beer,Som Distilleries & Breweries Ltd,Total Volume,0.1,0.1,0.1,0.1,0.1,0.1
Asia Pacific,Beer,Dagon Beverages Co Ltd,Total Volume,0.1,0.1,0.1,0.1,0.1,0.1
Asia Pacific,Beer,Diageo Plc,Total Volume,0.1,0.1,0.1,0.1,0.1,0.1
Asia Pacific,Beer,Agrofirma Mehnat OAO,Total Volume,0.1,0.0,0.0,0.0,0.0,0.0
Asia Pacific,Beer,Asia Pacific Breweries Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,China Resources Enterprise Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Chongqing Brewery Co Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Fraser & Neave Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Hite Brewery Co Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Kingway Brewery Holdings Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Lanzhou Huanghe Beer Co Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Nantong Fuhao Alcohol Industry Co Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Oriental Brewery Co Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Pabst Brewing Co,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,SABMiller Ltd,Total Volume,0.8,-,-,-,-,-
Asia Pacific,Beer,Saigon Alcohol Beer & Beverages Corp (Sabeco),Total Volume,2.0,2.2,-,-,-,-
Asia Pacific,Beer,Shanghai Donghai Brewery Co Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Siping Ginsber Draft Beer Co Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Tibet Galaxy Science & Technology Development Co Ltd,Total Volume,-,-,-,-,-,-
Asia Pacific,Beer,Private Label,Total Volume,0.1,0.1,0.1,0.2,0.2,0.2
Asia Pacific,Beer,Others,Total Volume,15.4,14.2,14.1,14.8,15.6,15.3
Asia Pacific,Beer,Total,Total Volume,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,,,
Research Sources:,,,,,,,,,
Alcoholic Drinks: Euromonitor from trade sources/national statistics,,,,,,,,,
,,,,,,,,,
Date Exported (GMT): 22/2/2565 18:38:49,,,,,,,,,
© Euromonitor International,,,,,,,,,