YEAR,MONTH,STATION_Name,UNIT_Thousand Baht
2021,1,FM.93.0 (SOR TOR ROR),15778.0
2021,1,FM.94.5 (JOR SOR),23142.0
2021,1,FM.106.5 (1 POR NOR),12164.0
2021,1,FM.102.0 (KOR SOR TOR BOR),13744.0
2021,1,FM.105.5 (OR SOR MOR TOR(TV3)),6079.0
2021,1,FM.90.0 (POL 1),11286.0
2021,1,FM.94.0 (TOR TOR BOR),7465.0
2021,1,FM.97.0 (SOR VOR TOR),10033.0
2021,1,FM.100.0 (JOR SOR),9945.0
2021,1,FM.90.5 (VOR POR TOR),10039.0
2021,1,FM.89.5 (RAJAMONGKOL),8031.0
2021,1,FM.95.0 (TOR TOR TOR),8056.0
2021,1,FM.91.5 (YAN KOH),3275.0
2021,1,FM.103.5 (TOR TOR BOR (TV7)),7549.0
2021,1,FM.95.5 (POR CHOR SOR),3379.0
2021,1,FM.89.0 (YAN KOH),6933.0
2021,1,FM.91.0 (SOR VOR POR),5082.0
2021,1,FM.88.5 (SOR TOR ROR),5946.0
2021,1,FM.98.0 (POL 1),4778.0
2021,1,FM.103.0 (JOR SOR),3822.0
2021,1,FM.106.0 (SOR TOR ROR),3263.0
2021,1,FM.93.5 (SOR VOR TOR),4823.0
2021,1,FM.100.5 (OR SOR MOR TOR),4889.0
2021,1,FM.107.0 (OR SOR MOR TOR),825.0
2021,1,FM.102.5 (TOR ROR 06),2667.0
2021,1,FM.105.0 (SOR VOR TOR),3991.0
2021,1,FM.101.0 (VOR SOR),4858.0
2021,1,FM.104.5 (POR TOR OR),3399.0
2021,1,FM.96.5 (OR SOR MOR TOR),3655.0
2021,1,FM.99.0 (OR SOR MOR TOR),2371.0
2021,1,FM.88.0 (POR CHOR SOR (TV11)),787.0
2021,1,FM.96.0 (ROR DOR),2402.0
2021,1,FM.101.5 (CHULA),767.0
2021,1,FM.97.5 (TOR TOR TOR),325.0
2021,1,FM.98.5 (1 POR NOR),222.0
2021,2,FM.93.0 (SOR TOR ROR),14178.0
2021,2,FM.94.5 (JOR SOR),21519.0
2021,2,FM.106.5 (1 POR NOR),19332.0
2021,2,FM.102.0 (KOR SOR TOR BOR),12335.0
2021,2,FM.105.5 (OR SOR MOR TOR(TV3)),9133.0
2021,2,FM.90.0 (POL 1),9839.0
2021,2,FM.94.0 (TOR TOR BOR),7860.0
2021,2,FM.97.0 (SOR VOR TOR),9634.0
2021,2,FM.100.0 (JOR SOR),9547.0
2021,2,FM.90.5 (VOR POR TOR),8501.0
2021,2,FM.89.5 (RAJAMONGKOL),8279.0
2021,2,FM.95.0 (TOR TOR TOR),7004.0
2021,2,FM.91.5 (YAN KOH),8166.0
2021,2,FM.103.5 (TOR TOR BOR (TV7)),6862.0
2021,2,FM.95.5 (POR CHOR SOR),3461.0
2021,2,FM.89.0 (YAN KOH),6498.0
2021,2,FM.91.0 (SOR VOR POR),4814.0
2021,2,FM.88.5 (SOR TOR ROR),6209.0
2021,2,FM.98.0 (POL 1),5398.0
2021,2,FM.103.0 (JOR SOR),3415.0
2021,2,FM.106.0 (SOR TOR ROR),4244.0
2021,2,FM.93.5 (SOR VOR TOR),5146.0
2021,2,FM.100.5 (OR SOR MOR TOR),5430.0
2021,2,FM.107.0 (OR SOR MOR TOR),2753.0
2021,2,FM.102.5 (TOR ROR 06),3352.0
2021,2,FM.105.0 (SOR VOR TOR),3652.0
2021,2,FM.101.0 (VOR SOR),4411.0
2021,2,FM.104.5 (POR TOR OR),3435.0
2021,2,FM.96.5 (OR SOR MOR TOR),3408.0
2021,2,FM.99.0 (OR SOR MOR TOR),2100.0
2021,2,FM.88.0 (POR CHOR SOR (TV11)),485.0
2021,2,FM.96.0 (ROR DOR),2267.0
2021,2,FM.101.5 (CHULA),1037.0
2021,2,FM.97.5 (TOR TOR TOR),1517.0
2021,2,FM.98.5 (1 POR NOR),38.0
2021,3,FM.93.0 (SOR TOR ROR),24603.0
2021,3,FM.94.5 (JOR SOR),24431.0
2021,3,FM.106.5 (1 POR NOR),23803.0
2021,3,FM.102.0 (KOR SOR TOR BOR),14321.0
2021,3,FM.105.5 (OR SOR MOR TOR(TV3)),13674.0
2021,3,FM.90.0 (POL 1),13078.0
2021,3,FM.94.0 (TOR TOR BOR),13003.0
2021,3,FM.97.0 (SOR VOR TOR),12351.0
2021,3,FM.100.0 (JOR SOR),10192.0
2021,3,FM.90.5 (VOR POR TOR),10003.0
2021,3,FM.89.5 (RAJAMONGKOL),9159.0
2021,3,FM.95.0 (TOR TOR TOR),8686.0
2021,3,FM.91.5 (YAN KOH),8332.0
2021,3,FM.103.5 (TOR TOR BOR (TV7)),8176.0
2021,3,FM.95.5 (POR CHOR SOR),8130.0
2021,3,FM.89.0 (YAN KOH),7878.0
2021,3,FM.91.0 (SOR VOR POR),7186.0
2021,3,FM.88.5 (SOR TOR ROR),6811.0
2021,3,FM.98.0 (POL 1),6573.0
2021,3,FM.103.0 (JOR SOR),6092.0
2021,3,FM.106.0 (SOR TOR ROR),6026.0
2021,3,FM.93.5 (SOR VOR TOR),5972.0
2021,3,FM.100.5 (OR SOR MOR TOR),5604.0
2021,3,FM.107.0 (OR SOR MOR TOR),5063.0
2021,3,FM.102.5 (TOR ROR 06),4863.0
2021,3,FM.105.0 (SOR VOR TOR),4835.0
2021,3,FM.101.0 (VOR SOR),4628.0
2021,3,FM.104.5 (POR TOR OR),4457.0
2021,3,FM.96.5 (OR SOR MOR TOR),4213.0
2021,3,FM.99.0 (OR SOR MOR TOR),3394.0
2021,3,FM.88.0 (POR CHOR SOR (TV11)),3124.0
2021,3,FM.96.0 (ROR DOR),2977.0
2021,3,FM.101.5 (CHULA),1496.0
2021,3,FM.97.5 (TOR TOR TOR),925.0
2021,3,FM.98.5 (1 POR NOR),51.0
2021,4,FM.88.0 (POR CHOR SOR (TV11)),3342.0
2021,4,FM.88.5 (SOR TOR ROR),7807.0
2021,4,FM.89.0 (YAN KOH),7167.0
2021,4,FM.89.5 (RAJAMONGKOL),7246.0
2021,4,FM.90.0 (POL 1),12535.0
2021,4,FM.90.5 (VOR POR TOR),9580.0
2021,4,FM.91.0 (SOR VOR POR),6387.0
2021,4,FM.93.0 (SOR TOR ROR),22972.0
2021,4,FM.93.5 (SOR VOR TOR),5897.0
2021,4,FM.94.0 (TOR TOR BOR),13039.0
2021,4,FM.94.5 (JOR SOR),22217.0
2021,4,FM.95.0 (TOR TOR TOR),9843.0
2021,4,FM.95.5 (POR CHOR SOR),7580.0
2021,4,FM.96.0 (ROR DOR),3154.0
2021,4,FM.96.5 (OR SOR MOR TOR),2982.0
2021,4,FM.97.0 (SOR VOR TOR),11859.0
2021,4,FM.97.5 (TOR TOR TOR),1530.0
2021,4,FM.98.0 (POL 1),7740.0
2021,4,FM.98.5 (1 POR NOR),0.0
2021,4,FM.99.0 (OR SOR MOR TOR),3752.0
2021,4,FM.100.0 (JOR SOR),10734.0
2021,4,FM.100.5 (OR SOR MOR TOR),5395.0
2021,4,FM.101.0 (VOR SOR),4829.0
2021,4,FM.101.5 (CHULA),1313.0
2021,4,FM.102.0 (KOR SOR TOR BOR),15124.0
2021,4,FM.103.0 (JOR SOR),7025.0
2021,4,FM.102.5 (TOR ROR 06),2478.0
2021,4,FM.91.5 (YAN KOH),7904.0
2021,4,FM.103.5 (TOR TOR BOR (TV7)),7656.0
2021,4,FM.104.5 (POR TOR OR),4501.0
2021,4,FM.105.0 (SOR VOR TOR),4934.0
2021,4,FM.105.5 (OR SOR MOR TOR(TV3)),11001.0
2021,4,FM.106.0 (SOR TOR ROR),6326.0
2021,4,FM.106.5 (1 POR NOR),23040.0
2021,4,FM.107.0 (OR SOR MOR TOR),4414.0
2021,5,FM.88.0 (POR CHOR SOR (TV11)),2399.0
2021,5,FM.88.5 (SOR TOR ROR),7622.0
2021,5,FM.89.0 (YAN KOH),6949.0
2021,5,FM.89.5 (RAJAMONGKOL),7499.0
2021,5,FM.90.0 (POL 1),14391.0
2021,5,FM.90.5 (VOR POR TOR),9070.0
2021,5,FM.91.0 (SOR VOR POR),5912.0
2021,5,FM.93.0 (SOR TOR ROR),24347.0
2021,5,FM.93.5 (SOR VOR TOR),5290.0
2021,5,FM.94.0 (TOR TOR BOR),12209.0
2021,5,FM.94.5 (JOR SOR),25584.0
2021,5,FM.95.0 (TOR TOR TOR),11998.0
2021,5,FM.95.5 (POR CHOR SOR),6779.0
2021,5,FM.96.0 (ROR DOR),3186.0
2021,5,FM.96.5 (OR SOR MOR TOR),2162.0
2021,5,FM.97.0 (SOR VOR TOR),11515.0
2021,5,FM.97.5 (TOR TOR TOR),986.0
2021,5,FM.98.0 (POL 1),6597.0
2021,5,FM.98.5 (1 POR NOR),0.0
2021,5,FM.99.0 (OR SOR MOR TOR),2983.0
2021,5,FM.100.0 (JOR SOR),9868.0
2021,5,FM.100.5 (OR SOR MOR TOR),4777.0
2021,5,FM.101.0 (VOR SOR),6285.0
2021,5,FM.101.5 (CHULA),1158.0
2021,5,FM.102.0 (KOR SOR TOR BOR),14785.0
2021,5,FM.103.0 (JOR SOR),5383.0
2021,5,FM.102.5 (TOR ROR 06),3797.0
2021,5,FM.91.5 (YAN KOH),8508.0
2021,5,FM.103.5 (TOR TOR BOR (TV7)),8673.0
2021,5,FM.104.5 (POR TOR OR),4447.0
2021,5,FM.105.0 (SOR VOR TOR),5054.0
2021,5,FM.105.5 (OR SOR MOR TOR(TV3)),10353.0
2021,5,FM.106.0 (SOR TOR ROR),6912.0
2021,5,FM.106.5 (1 POR NOR),19728.0
2021,5,FM.107.0 (OR SOR MOR TOR),2450.0
2021,6,FM.88.0 (POR CHOR SOR (TV11)),2663.0
2021,6,FM.88.5 (SOR TOR ROR),7779.0
2021,6,FM.89.0 (YAN KOH),7232.0
2021,6,FM.89.5 (RAJAMONGKOL),7421.0
2021,6,FM.90.0 (POL 1),13164.0
2021,6,FM.90.5 (VOR POR TOR),9915.0
2021,6,FM.91.0 (SOR VOR POR),6054.0
2021,6,FM.93.0 (SOR TOR ROR),20659.0
2021,6,FM.93.5 (SOR VOR TOR),5780.0
2021,6,FM.94.0 (TOR TOR BOR),12528.0
2021,6,FM.94.5 (JOR SOR),24607.0
2021,6,FM.95.0 (TOR TOR TOR),9610.0
2021,6,FM.95.5 (POR CHOR SOR),6659.0
2021,6,FM.96.0 (ROR DOR),2903.0
2021,6,FM.96.5 (OR SOR MOR TOR),3474.0
2021,6,FM.97.0 (SOR VOR TOR),11771.0
2021,6,FM.97.5 (TOR TOR TOR),1186.0
2021,6,FM.98.0 (POL 1),7273.0
2021,6,FM.98.5 (1 POR NOR),0.0
2021,6,FM.99.0 (OR SOR MOR TOR),3437.0
2021,6,FM.100.0 (JOR SOR),9551.0
2021,6,FM.100.5 (OR SOR MOR TOR),6584.0
2021,6,FM.101.0 (VOR SOR),5648.0
2021,6,FM.101.5 (CHULA),932.0
2021,6,FM.102.0 (KOR SOR TOR BOR),14920.0
2021,6,FM.103.0 (JOR SOR),6472.0
2021,6,FM.102.5 (TOR ROR 06),2686.0
2021,6,FM.91.5 (YAN KOH),8831.0
2021,6,FM.103.5 (TOR TOR BOR (TV7)),8572.0
2021,6,FM.104.5 (POR TOR OR),4315.0
2021,6,FM.105.0 (SOR VOR TOR),4750.0
2021,6,FM.105.5 (OR SOR MOR TOR(TV3)),10467.0
2021,6,FM.106.0 (SOR TOR ROR),6573.0
2021,6,FM.106.5 (1 POR NOR),20268.0
2021,6,FM.107.0 (OR SOR MOR TOR),2547.0
2021,7,FM.88.0 (POR CHOR SOR (TV11)),2081.0
2021,7,FM.88.5 (SOR TOR ROR),8546.0
2021,7,FM.89.0 (YAN KOH),7110.0
2021,7,FM.89.5 (RAJAMONGKOL),7756.0
2021,7,FM.90.0 (POL 1),16428.0
2021,7,FM.90.5 (VOR POR TOR),9553.0
2021,7,FM.91.0 (SOR VOR POR),6801.0
2021,7,FM.93.0 (SOR TOR ROR),16686.0
2021,7,FM.93.5 (SOR VOR TOR),5487.0
2021,7,FM.94.0 (TOR TOR BOR),12636.0
2021,7,FM.94.5 (JOR SOR),24188.0
2021,7,FM.95.0 (TOR TOR TOR),7734.0
2021,7,FM.95.5 (POR CHOR SOR),7200.0
2021,7,FM.96.0 (ROR DOR),2907.0
2021,7,FM.96.5 (OR SOR MOR TOR),3606.0
2021,7,FM.97.0 (SOR VOR TOR),12910.0
2021,7,FM.97.5 (TOR TOR TOR),457.0
2021,7,FM.98.0 (POL 1),5342.0
2021,7,FM.98.5 (1 POR NOR),0.0
2021,7,FM.99.0 (OR SOR MOR TOR),3277.0
2021,7,FM.100.0 (JOR SOR),11176.0
2021,7,FM.100.5 (OR SOR MOR TOR),5659.0
2021,7,FM.101.0 (VOR SOR),7068.0
2021,7,FM.101.5 (CHULA),1262.0
2021,7,FM.102.0 (KOR SOR TOR BOR),15426.0
2021,7,FM.103.0 (JOR SOR),5733.0
2021,7,FM.102.5 (TOR ROR 06),8260.0
2021,7,FM.91.5 (YAN KOH),8812.0
2021,7,FM.103.5 (TOR TOR BOR (TV7)),8061.0
2021,7,FM.104.5 (POR TOR OR),4190.0
2021,7,FM.105.0 (SOR VOR TOR),4872.0
2021,7,FM.105.5 (OR SOR MOR TOR(TV3)),10344.0
2021,7,FM.106.0 (SOR TOR ROR),8329.0
2021,7,FM.106.5 (1 POR NOR),19539.0
2021,7,FM.107.0 (OR SOR MOR TOR),2873.0
2021,8,FM.88.0 (POR CHOR SOR (TV11)),2681.0
2021,8,FM.88.5 (SOR TOR ROR),7764.0
2021,8,FM.89.0 (YAN KOH),5429.0
2021,8,FM.89.5 (RAJAMONGKOL),6603.0
2021,8,FM.90.0 (POL 1),11855.0
2021,8,FM.90.5 (VOR POR TOR),9108.0
2021,8,FM.91.0 (SOR VOR POR),7600.0
2021,8,FM.93.0 (SOR TOR ROR),15894.0
2021,8,FM.93.5 (SOR VOR TOR),6090.0
2021,8,FM.94.0 (TOR TOR BOR),11214.0
2021,8,FM.94.5 (JOR SOR),24135.0
2021,8,FM.95.0 (TOR TOR TOR),8647.0
2021,8,FM.95.5 (POR CHOR SOR),6567.0
2021,8,FM.96.0 (ROR DOR),2937.0
2021,8,FM.96.5 (OR SOR MOR TOR),2968.0
2021,8,FM.97.0 (SOR VOR TOR),12127.0
2021,8,FM.97.5 (TOR TOR TOR),506.0
2021,8,FM.98.0 (POL 1),6132.0
2021,8,FM.98.5 (1 POR NOR),0.0
2021,8,FM.99.0 (OR SOR MOR TOR),2797.0
2021,8,FM.100.0 (JOR SOR),11435.0
2021,8,FM.100.5 (OR SOR MOR TOR),5610.0
2021,8,FM.101.0 (VOR SOR),5332.0
2021,8,FM.101.5 (CHULA),950.0
2021,8,FM.102.0 (KOR SOR TOR BOR),15146.0
2021,8,FM.103.0 (JOR SOR),5976.0
2021,8,FM.102.5 (TOR ROR 06),4083.0
2021,8,FM.91.5 (YAN KOH),6116.0
2021,8,FM.103.5 (TOR TOR BOR (TV7)),8414.0
2021,8,FM.104.5 (POR TOR OR),4452.0
2021,8,FM.105.0 (SOR VOR TOR),5213.0
2021,8,FM.105.5 (OR SOR MOR TOR(TV3)),6986.0
2021,8,FM.106.0 (SOR TOR ROR),8304.0
2021,8,FM.106.5 (1 POR NOR),17069.0
2021,8,FM.107.0 (OR SOR MOR TOR),2493.0
2021,9,FM.88.0 (POR CHOR SOR (TV11)),2917.0
2021,9,FM.88.5 (SOR TOR ROR),7367.0
2021,9,FM.89.0 (YAN KOH),5115.0
2021,9,FM.89.5 (RAJAMONGKOL),7137.0
2021,9,FM.90.0 (POL 1),10987.0
2021,9,FM.90.5 (VOR POR TOR),9692.0
2021,9,FM.91.0 (SOR VOR POR),7025.0
2021,9,FM.93.0 (SOR TOR ROR),15223.0
2021,9,FM.93.5 (SOR VOR TOR),5315.0
2021,9,FM.94.0 (TOR TOR BOR),10320.0
2021,9,FM.94.5 (JOR SOR),23533.0
2021,9,FM.95.0 (TOR TOR TOR),8339.0
2021,9,FM.95.5 (POR CHOR SOR),7295.0
2021,9,FM.96.0 (ROR DOR),2156.0
2021,9,FM.96.5 (OR SOR MOR TOR),3815.0
2021,9,FM.97.0 (SOR VOR TOR),11245.0
2021,9,FM.97.5 (TOR TOR TOR),812.0
2021,9,FM.98.0 (POL 1),4976.0
2021,9,FM.98.5 (1 POR NOR),0.0
2021,9,FM.99.0 (OR SOR MOR TOR),2743.0
2021,9,FM.100.0 (JOR SOR),11151.0
2021,9,FM.100.5 (OR SOR MOR TOR),5625.0
2021,9,FM.101.0 (VOR SOR),4722.0
2021,9,FM.101.5 (CHULA),1094.0
2021,9,FM.102.0 (KOR SOR TOR BOR),13987.0
2021,9,FM.103.0 (JOR SOR),4498.0
2021,9,FM.102.5 (TOR ROR 06),4389.0
2021,9,FM.91.5 (YAN KOH),6533.0
2021,9,FM.103.5 (TOR TOR BOR (TV7)),8330.0
2021,9,FM.104.5 (POR TOR OR),3703.0
2021,9,FM.105.0 (SOR VOR TOR),4523.0
2021,9,FM.105.5 (OR SOR MOR TOR(TV3)),8246.0
2021,9,FM.106.0 (SOR TOR ROR),8762.0
2021,9,FM.106.5 (1 POR NOR),16589.0
2021,9,FM.107.0 (OR SOR MOR TOR),2370.0
2021,10,FM.88.0 (POR CHOR SOR (TV11)),3117.0
2021,10,FM.88.5 (SOR TOR ROR),7286.0
2021,10,FM.89.0 (YAN KOH),5708.0
2021,10,FM.89.5 (RAJAMONGKOL),7889.0
2021,10,FM.90.0 (POL 1),12393.0
2021,10,FM.90.5 (VOR POR TOR),9542.0
2021,10,FM.91.0 (SOR VOR POR),5956.0
2021,10,FM.93.0 (SOR TOR ROR),24639.0
2021,10,FM.93.5 (SOR VOR TOR),5753.0
2021,10,FM.94.0 (TOR TOR BOR),12428.0
2021,10,FM.94.5 (JOR SOR),26099.0
2021,10,FM.95.0 (TOR TOR TOR),9405.0
2021,10,FM.95.5 (POR CHOR SOR),7215.0
2021,10,FM.96.0 (ROR DOR),2671.0
2021,10,FM.96.5 (OR SOR MOR TOR),2769.0
2021,10,FM.97.0 (SOR VOR TOR),11517.0
2021,10,FM.97.5 (TOR TOR TOR),383.0
2021,10,FM.98.0 (POL 1),5517.0
2021,10,FM.98.5 (1 POR NOR),0.0
2021,10,FM.99.0 (OR SOR MOR TOR),1809.0
2021,10,FM.100.0 (JOR SOR),11280.0
2021,10,FM.100.5 (OR SOR MOR TOR),3972.0
2021,10,FM.101.0 (VOR SOR),4047.0
2021,10,FM.101.5 (CHULA),793.0
2021,10,FM.102.0 (KOR SOR TOR BOR),15186.0
2021,10,FM.103.0 (JOR SOR),4587.0
2021,10,FM.102.5 (TOR ROR 06),5187.0
2021,10,FM.91.5 (YAN KOH),6962.0
2021,10,FM.103.5 (TOR TOR BOR (TV7)),11311.0
2021,10,FM.104.5 (POR TOR OR),4925.0
2021,10,FM.105.0 (SOR VOR TOR),4424.0
2021,10,FM.105.5 (OR SOR MOR TOR(TV3)),9468.0
2021,10,FM.106.0 (SOR TOR ROR),11307.0
2021,10,FM.106.5 (1 POR NOR),25166.0
2021,10,FM.107.0 (OR SOR MOR TOR),3425.0
2021,11,FM.88.0 (POR CHOR SOR (TV11)),2990.0
2021,11,FM.88.5 (SOR TOR ROR),7380.0
2021,11,FM.89.0 (YAN KOH),6593.0
2021,11,FM.89.5 (RAJAMONGKOL),8176.0
2021,11,FM.90.0 (POL 1),11926.0
2021,11,FM.90.5 (VOR POR TOR),10577.0
2021,11,FM.91.0 (SOR VOR POR),5963.0
2021,11,FM.93.0 (SOR TOR ROR),26786.0
2021,11,FM.93.5 (SOR VOR TOR),5778.0
2021,11,FM.94.0 (TOR TOR BOR),14377.0
2021,11,FM.94.5 (JOR SOR),26019.0
2021,11,FM.95.0 (TOR TOR TOR),9144.0
2021,11,FM.95.5 (POR CHOR SOR),8366.0
2021,11,FM.96.0 (ROR DOR),2600.0
2021,11,FM.96.5 (OR SOR MOR TOR),2726.0
2021,11,FM.97.0 (SOR VOR TOR),11539.0
2021,11,FM.97.5 (TOR TOR TOR),898.0
2021,11,FM.98.0 (POL 1),4954.0
2021,11,FM.98.5 (1 POR NOR),0.0
2021,11,FM.99.0 (OR SOR MOR TOR),2125.0
2021,11,FM.100.0 (JOR SOR),11870.0
2021,11,FM.100.5 (OR SOR MOR TOR),4443.0
2021,11,FM.101.0 (VOR SOR),4648.0
2021,11,FM.101.5 (CHULA),536.0
2021,11,FM.102.0 (KOR SOR TOR BOR),15790.0
2021,11,FM.103.0 (JOR SOR),6121.0
2021,11,FM.102.5 (TOR ROR 06),7046.0
2021,11,FM.91.5 (YAN KOH),7845.0
2021,11,FM.103.5 (TOR TOR BOR (TV7)),12739.0
2021,11,FM.104.5 (POR TOR OR),5495.0
2021,11,FM.105.0 (SOR VOR TOR),5024.0
2021,11,FM.105.5 (OR SOR MOR TOR(TV3)),12712.0
2021,11,FM.106.0 (SOR TOR ROR),10066.0
2021,11,FM.106.5 (1 POR NOR),21870.0
2021,11,FM.107.0 (OR SOR MOR TOR),4122.0
2021,12,FM.88.0 (POR CHOR SOR (TV11)),3531.0
2021,12,FM.88.5 (SOR TOR ROR),7563.0
2021,12,FM.89.0 (YAN KOH),7000.0
2021,12,FM.89.5 (RAJAMONGKOL),7915.0
2021,12,FM.90.0 (POL 1),12222.0
2021,12,FM.90.5 (VOR POR TOR),10046.0
2021,12,FM.91.0 (SOR VOR POR),6914.0
2021,12,FM.93.0 (SOR TOR ROR),26388.0
2021,12,FM.93.5 (SOR VOR TOR),6154.0
2021,12,FM.94.0 (TOR TOR BOR),14479.0
2021,12,FM.94.5 (JOR SOR),27142.0
2021,12,FM.95.0 (TOR TOR TOR),11582.0
2021,12,FM.95.5 (POR CHOR SOR),9063.0
2021,12,FM.96.0 (ROR DOR),3195.0
2021,12,FM.96.5 (OR SOR MOR TOR),3049.0
2021,12,FM.97.0 (SOR VOR TOR),11290.0
2021,12,FM.97.5 (TOR TOR TOR),742.0
2021,12,FM.98.0 (POL 1),4393.0
2021,12,FM.98.5 (1 POR NOR),0.0
2021,12,FM.99.0 (OR SOR MOR TOR),2226.0
2021,12,FM.100.0 (JOR SOR),12429.0
2021,12,FM.100.5 (OR SOR MOR TOR),4418.0
2021,12,FM.101.0 (VOR SOR),4648.0
2021,12,FM.101.5 (CHULA),1044.0
2021,12,FM.102.0 (KOR SOR TOR BOR),15709.0
2021,12,FM.103.0 (JOR SOR),5578.0
2021,12,FM.102.5 (TOR ROR 06),6831.0
2021,12,FM.91.5 (YAN KOH),7796.0
2021,12,FM.103.5 (TOR TOR BOR (TV7)),12654.0
2021,12,FM.104.5 (POR TOR OR),6172.0
2021,12,FM.105.0 (SOR VOR TOR),5189.0
2021,12,FM.105.5 (OR SOR MOR TOR(TV3)),12978.0
2021,12,FM.106.0 (SOR TOR ROR),12542.0
2021,12,FM.106.5 (1 POR NOR),22347.0
2021,12,FM.107.0 (OR SOR MOR TOR),5558.0
2022,1,FM.88.0 (POR CHOR SOR (TV11)),1403.0
2022,1,FM.88.5 (SOR TOR ROR),3093.0
2022,1,FM.89.0 (YAN KOH),5747.0
2022,1,FM.89.5 (RAJAMONGKOL),7346.0
2022,1,FM.90.0 (POL 1),9574.0
2022,1,FM.90.5 (VOR POR TOR),11435.0
2022,1,FM.91.0 (SOR VOR POR),6167.0
2022,1,FM.93.0 (SOR TOR ROR),16705.0
2022,1,FM.93.5 (SOR VOR TOR),5742.0
2022,1,FM.94.0 (TOR TOR BOR),9959.0
2022,1,FM.94.5 (JOR SOR),25823.0
2022,1,FM.95.0 (TOR TOR TOR),8797.0
2022,1,FM.95.5 (POR CHOR SOR),2842.0
2022,1,FM.96.0 (ROR DOR),2661.0
2022,1,FM.96.5 (OR SOR MOR TOR),2092.0
2022,1,FM.97.0 (SOR VOR TOR),10457.0
2022,1,FM.97.5 (TOR TOR TOR),416.0
2022,1,FM.98.0 (POL 1),0.0
2022,1,FM.98.5 (1 POR NOR),0.0
2022,1,FM.99.0 (OR SOR MOR TOR),2418.0
2022,1,FM.100.0 (JOR SOR),9849.0
2022,1,FM.100.5 (OR SOR MOR TOR),2895.0
2022,1,FM.101.0 (VOR SOR),3750.0
2022,1,FM.101.5 (CHULA),926.0
2022,1,FM.102.0 (KOR SOR TOR BOR),13950.0
2022,1,FM.103.0 (JOR SOR),7001.0
2022,1,FM.102.5 (TOR ROR 06),1883.0
2022,1,FM.91.5 (YAN KOH),8121.0
2022,1,FM.103.5 (TOR TOR BOR (TV7)),7729.0
2022,1,FM.104.5 (POR TOR OR),4785.0
2022,1,FM.105.0 (SOR VOR TOR),4234.0
2022,1,FM.105.5 (OR SOR MOR TOR(TV3)),6752.0
2022,1,FM.106.0 (SOR TOR ROR),6069.0
2022,1,FM.106.5 (1 POR NOR),11475.0
2022,1,FM.107.0 (OR SOR MOR TOR),1685.0
